NOME DA BARRAGEM DE MINERAÇÃO	NOME DO EMPREENDEDOR	CPF/CNPJ	LATITUDE	LONGITUDE	POSICIONAMENTO	UF	MUNICÍPIO	MINÉRIO PRINCIPAL	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	MÉTODO CONSTRUTIVO	CATEGORIA DE RISCO	DANO POTENCIAL ASSOCIADO	CLASSE	INSERIDA NA PNSB?
Cava Sul	Mineração Caraíba S.a.	42.509.257/0001-13	-9°52'17.300"	-39°52'17.200"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	0	323.173,00	Indefinido				Não
Dique 3	Mineração Caraíba S.a.	42.509.257/0001-13	-9°49'53.300"	-39°49'29.700"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	1,5	440.000,00	Etapa única				Não
Dique Santa Rita	Mirabela Mineração do Brasil Ltda.	74.127.010/0001-29	-14°11'47.547"	-39°41'29.939"	Sul do Equador	BA	ITAGIBÁ	Minério de Níquel	5	246.848,00	Etapa única				Não
Medrado 1	Cia de Ferro Ligas da Bahia Ferbasa	15.141.799/0001-03	-10°18'51.000"	-39°46'02.000"	Sul do Equador	BA	ANDORINHA	Cromita	5	185.520,00	Etapa única				Não
Medrado 2	Cia de Ferro Ligas da Bahia Ferbasa	15.141.799/0001-03	-10°18'53.700"	-39°45'57.000"	Sul do Equador	BA	ANDORINHA	Cromita	11,2	0	Alteamento por linha de centro				Não
Medrado 3	Cia de Ferro Ligas da Bahia Ferbasa	15.141.799/0001-03	-10°18'56.000"	-39°45'57.000"	Sul do Equador	BA	ANDORINHA	Cromita	8,4	94.325,00	Etapa única				Não
Pilha 01 - P1C1	Mineração Caraíba S.a.	42.509.257/0001-13	-9°51'10.170"	-39°51'44.268"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	6	100.566,00	Alteamento por linha de centro				Não
Pilha 01 - P1C3	Mineração Caraíba S.a.	42.509.257/0001-13	-9°51'15.285"	-39°51'59.529"	Sul do Equador	BA	JAGUARARI	Sedimento	1	164.976,00	Alteamento a jusante				Não
Pilha 01 - P1C4	Mineração Caraíba S.a.	42.509.257/0001-13	-9°51'19.659"	-39°52'02.121"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	2	85.786,00	Alteamento a jusante				Não
Pilha 01 - P1C5	Mineração Caraíba S.a.	42.509.257/0001-13	-9°51'07.668"	-39°51'48.038"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	14	111.960,00	Alteamento a jusante				Não
Pilha 01 - P1C6	Mineração Caraíba S.a.	42.509.257/0001-13	-9°51'11.005"	-39°51'53.799"	Sul do Equador	BA	JAGUARARI	Sedimento	2	30.460,00	Alteamento a jusante				Não
Pilha 01 - P1C7	Mineração Caraíba S.a.	42.509.257/0001-13	-9°51'19.270"	-39°51'54.399"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	6,8	10.277,00	Alteamento a jusante				Não
Pilha 01 - P1C8	Mineração Caraíba S.a.	42.509.257/0001-13	-9°51'26.408"	-39°51'48.095"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	3,5	71.698,00	Alteamento a jusante				Não
Pilha 01 P1C2	Mineração Caraíba S.a.	42.509.257/0001-13	-9°51'19.593"	-39°51'50.354"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	9,5	102.246,00	Alteamento a jusante				Não
Pilha 05 - P5C1	Mineração Caraíba S.a.	42.509.257/0001-13	-9°52'46.158"	-39°51'54.612"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	5	172.053,00	Alteamento a jusante				Não
Pilha 05 - P5C2	Mineração Caraíba S.a.	42.509.257/0001-13	-9°52'36.688"	-39°52'05.408"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	4	155.498,00	Alteamento a jusante				Não
Pilha 05 - P5C3	Mineração Caraíba S.a.	42.509.257/0001-13	-9°52'48.573"	-39°51'51.266"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	5	141.410,00	Alteamento a jusante				Não
Pilha 05 - P5C4	Mineração Caraíba S.a.	42.509.257/0001-13	-9°52'30.737"	-39°52'08.101"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	2	7.052,00	Alteamento a jusante				Não
Pilha 05 - P5XC2	Mineração Caraíba S.a.	42.509.257/0001-13	-9°52'32.341"	-39°51'54.787"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	5	79.459,00	Alteamento a jusante				Não
Pilha 05 - XC1	Mineração Caraíba S.a.	42.509.257/0001-13	-9°52'37.962"	-39°51'52.340"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	5	80.000,00	Alteamento a jusante				Não
R22	Mineração Caraíba S.a.	42.509.257/0001-13	-9°51'41.800"	-39°52'23.100"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	0	255.131,00	Indefinido				Não
R75	Mineração Caraíba S.a.	42.509.257/0001-13	-9°51'10.300"	-39°52'05.300"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	0	0	Indefinido				Não
TANQUE DE DECANTAÇÃO	Pedreiras Bahia Ltda.	34.089.417/0001-94	-12°51'24.400"	-38°24'15.900"	Sul do Equador	BA	SIMÕES FILHO	Granulito Gnaisse	2	3.000,00	Indefinido				Não
Barragem Morro Pelado 2	Brasil Minérios S.a.	02.683.365/0001-93	-16°23'49.700"	-50°23'00.300"	Sul do Equador	GO	SÃO LUÍS DE MONTES BELOS	Vermiculita	13,65	70.000,00	Alteamento a jusante				Não
Dique de finos 02 - Depósito Tamanduá	Catalao	33.931.486/0010-21	-18°09'06.993"	-47°46'58.814"	Sul do Equador	GO	OUVIDOR	Sedimento	14,8	0	Etapa única				Não
Dique de finos 03 - Depósito Tamanduá	Catalao	33.931.486/0010-21	-18°08'19.663"	-47°46'55.691"	Sul do Equador	GO	OUVIDOR	Argila	6	600	Etapa única				Não
GIRASSOL-01	Quartziti Mineradora Ltda	11.461.800/0001-26	-15°46'20.000"	-48°38'17.000"	Sul do Equador	GO	CORUMBÁ DE GOIÁS	Areia Quartzosa	5	3.000,00	Indefinido				Não
Area M	Cbe Companhia Brasileira de Equipamento Filial:	27.184.936/0007-61	-4°31'24.900"	-44°00'57.700"	Sul do Equador	MA	CODÓ	Argila	0	832.598,77	Indefinido				Não
VÃO DAS COBRAS	J. G. de A. FERREIRA MINERADORA EIRELI	03.779.142/0001-97	-6°34'55.900"	-43°57'58.400"	Sul do Equador	MA	PASTOS BONS	Saibro	2	9.000,00	Indefinido				Não
01 PDE 01	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	-19°51'13.900"	-43°47'38.300"	Sul do Equador	MG	SABARÁ	Minério de Ferro	12	0,01	Etapa única				Não
105-I	Vale S A Filial: Vale Itabira	33.592.510/0164-09	-19°37'37.919"	-43°14'18.830"	Sul do Equador	MG	ITABIRA	Minério de Ferro	8,14	8.400,00	Alteamento a jusante				Não
2	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	-19°58'24.601"	-43°36'13.419"	Sul do Equador	MG	BARÃO DE COCAIS	Minério de Ferro	10	15.412,70	Alteamento a jusante				Não
A - PDE Nordeste	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	-19°56'55.421"	-43°35'12.119"	Sul do Equador	MG	BARÃO DE COCAIS	Minério de Ferro	13	300	Etapa única				Não
Alto Jacutinga	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°25'33.600"	-43°53'09.500"	Sul do Equador	MG	CONGONHAS	Minério de Ferro	11,8	92.434,00	Alteamento por linha de centro				Não
B - PDE Nordeste	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	-19°56'50.126"	-43°35'00.712"	Sul do Equador	MG	BARÃO DE COCAIS	Minério de Ferro	14,5	2.935,00	Etapa única				Não
Bacia 01	Arcelormittal Brasil S.a	17.469.701/0001-77	-19°47'05.000"	-43°11'31.300"	Sul do Equador	MG	BELA VISTA DE MINAS	Minério de Ferro	9	1.000,00	Alteamento a montante ou desconhecido				Não
Bacia 07	Arcelormittal Brasil S.a	17.469.701/0001-77	-19°46'59.200"	-43°10'59.200"	Sul do Equador	MG	BELA VISTA DE MINAS	Minério de Ferro	7	500	Etapa única				Não
Bacia 08	Arcelormittal Brasil S.a	17.469.701/0001-77	-19°47'05.900"	-43°10'48.600"	Sul do Equador	MG	BELA VISTA DE MINAS	Minério de Ferro	7	5.000,00	Etapa única				Não
Bacia 09	Arcelormittal Brasil S.a	17.469.701/0001-77	-19°46'37.840"	-43°11'21.930"	Sul do Equador	MG	BELA VISTA DE MINAS	Minério de Ferro	7	2.200,00	Etapa única				Não
Bacia 15	Arcelormittal Brasil S.a	17.469.701/0001-77	-19°46'34.733"	-43°11'27.772"	Sul do Equador	MG	BELA VISTA DE MINAS	Minério de Ferro	5	2.200,00	Etapa única				Não
Bacia 16	Arcelormittal Brasil S.a	17.469.701/0001-77	-19°47'09.952"	-43°10'22.069"	Sul do Equador	MG	BELA VISTA DE MINAS	Minério de Ferro	12	12.000,00	Etapa única				Não
Bacia 17	Arcelormittal Brasil S.a	17.469.701/0001-77	-19°47'01.777"	-43°09'54.766"	Sul do Equador	MG	BELA VISTA DE MINAS	Minério de Ferro	8	3.500,00	Etapa única				Não
Bacia de Conteção de Finos da PDE-A Norte	Gerdau Açominas S.a.	17.227.422/0001-05	-20°16'42.200"	-43°55'51.100"	Sul do Equador	MG	ITABIRITO	Dolomito	5	3.480,00	Etapa única				Não
Bacia de Conteção de Finos da PDE-A Sul	Gerdau Açominas S.a.	17.227.422/0001-05	-20°16'58.800"	-43°55'38.200"	Sul do Equador	MG	ITABIRITO	Dolomito	6	1.000,00	Etapa única				Não
Bacia de Decantação 1	Mineração Matheus Leme Ltda	60.510.195/0001-41	-19°56'04.000"	-44°28'15.000"	Sul do Equador	MG	MATEUS LEME	Agalmatolito	2	3.660,00	Indefinido				Não
Bacia de Decantação 2	Mineração Matheus Leme Ltda	60.510.195/0001-41	-19°56'03.000"	-44°28'17.000"	Sul do Equador	MG	MATEUS LEME	Agalmatolito	2,25	5.700,00	Indefinido				Não
Bacia de Decantação 3	Mineração Matheus Leme Ltda	60.510.195/0001-41	-19°56'02.000"	-44°28'19.000"	Sul do Equador	MG	MATEUS LEME	Agalmatolito	2	1.570,00	Indefinido				Não
Bacia Lavador de Rodas	Gerdau Açominas S.a.	17.227.422/0001-05	-20°17'34.470"	-43°56'19.060"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	3,6	612,23	Etapa única				Não
BARRAGEM USINA BENEFICIAMENTO L7 - IIB	Magnesita Mineração S.A. Filial: FAZENDA BELA VISTA	00.592.603/0023-35	-19°24'38.340"	-47°57'20.460"	Sul do Equador	MG	UBERABA	Argila Refratária	2	7.300,00	Etapa única				Não
Barragem 1	Companhia Mineradora do Pirocloro de Araxá	17.806.779/0001-30	-19°39'35.121"	-46°55'37.279"	Sul do Equador	MG	ARAXÁ	Minério de Nióbio	14,3	108.377,16	Alteamento a jusante				Não
Barragem 1 - Dique de Contenção	Construtora Martins Lanna Ltda.	19.974.518/0001-54	-19°51'53.770"	-44°05'35.104"	Sul do Equador	MG	BETIM	Sedimento	8	12.000,00	Etapa única				Não
Barragem 2 - Captação de Água	Construtora Martins Lanna Ltda.	19.974.518/0001-54	-19°52'33.440"	-44°06'01.770"	Sul do Equador	MG	BETIM	Sedimento	2	14.000,00	Etapa única				Não
Barragem 3A - Sedimentação	MSM Mineração Serra da Moeda Ltda.	21.705.306/0001-13	-20°22'38.190"	-43°54'52.910"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	3	3.420,00	Etapa única				Não
Barragem 3B - Sedimentação	MSM Mineração Serra da Moeda Ltda.	21.705.306/0001-13	-20°22'41.120"	-43°54'55.540"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	3	5.480,00	Etapa única				Não
Barragem 4 - Acumulação	MSM Mineração Serra da Moeda Ltda.	21.705.306/0001-13	-20°22'39.730"	-43°54'54.340"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	7	4.078,00	Etapa única				Não
Barragem 5 - Captação	MSM Mineração Serra da Moeda Ltda.	21.705.306/0001-13	-20°22'26.090"	-43°55'17.340"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	4	3.600,00	Etapa única				Não
Barragem 6 - Dique Filtrante	MSM Mineração Serra da Moeda Ltda.	21.705.306/0001-13	-20°22'37.870"	-43°54'45.680"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	4	2.640,00	Etapa única				Não
barragem 7 - Dique Filtrante	MSM Mineração Serra da Moeda Ltda.	21.705.306/0001-13	-20°22'45.940"	-43°55'00.850"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	7	7.063,00	Etapa única				Não
Barragem 8 - Dique Filtrante	MSM Mineração Serra da Moeda Ltda.	21.705.306/0001-13	-20°22'50.400"	-43°55'03.030"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	6	6.435,00	Etapa única				Não
Barragem 9 - Dique Filtrante	MSM Mineração Serra da Moeda Ltda.	21.705.306/0001-13	-20°22'50.560"	-43°55'09.330"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	6	3.833,00	Etapa única				Não
BARRAGEM B1	Cimento Tupi S.a.	33.039.223/0001-11	-20°54'12.200"	-43°48'14.000"	Sul do Equador	MG	CARANAÍBA	Argila	8	18.113,00	Etapa única				Não
Barragem B1	Mineração Marsil Ltda.	16.800.211/0001-49	-19°32'59.900"	-43°01'20.100"	Sul do Equador	MG	ANTÔNIO DIAS	Areia	4	10.200,00	Etapa única				Não
BARRAGEM B1	Roberto Eustáquio Silva Pedrosa	00.546.997/0002-60	-18°16'56.035"	-46°51'40.773"	Sul do Equador	MG	LAGAMAR	Sedimento	8	90.000,00	Etapa única				Não
Barragem B2	Herculano Mineração Ltda.	41.785.833/0001-92	-20°15'04.500"	-43°56'14.470"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	8	61.000,00	Etapa única				Não
Barragem B3	Herculano Mineração Ltda.	41.785.833/0001-92	-20°15'00.250"	-43°56'06.830"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	14	108.879,00	Etapa única				Não
Barragem B3	Mineração Geral do Brasil S A	60.727.120/0001-17	-20°04'02.800"	-44°01'22.900"	Sul do Equador	MG	BRUMADINHO	Argila Arenosa	10	20.000,00	Etapa única				Não
Barragem B3	Mineração Marsil Ltda.	16.800.211/0001-49	-19°32'51.300"	-43°01'17.500"	Sul do Equador	MG	ANTÔNIO DIAS	Areia	7	14.200,00	Etapa única				Não
Barragem Captação de Água	Mineração Usiminas S.a.	12.056.613/0001-20	-20°10'09.300"	-44°27'03.170"	Sul do Equador	MG	ITATIAIUÇU	Argila Arenosa	4,46	14.000,00	Etapa única				Não
Barragem de Contenção de Sólidos Carreados	EXTRATIVA MINERAL LTDA	17.174.889/0001-26	-20°06'36.060"	-43°54'11.690"	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	8	28.000,00	Etapa única				Não
BARRAGEM DE GABIÕES	Empresa de Mineração Esperança Sa	33.300.971/0001-06	-20°06'56.500"	-44°13'06.100"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	5	30.000,00	Etapa única				Não
Barragem do Fundão	Avg Empreendimentos Minerários S.A	16.565.897/0001-30	-19°49'17.090"	-43°43'01.480"	Sul do Equador	MG	SABARÁ	Sedimento	9	20.000,00	Etapa única				Não
BARRAGEM DO LAGARTO	Csn Mineração S.a.	08.902.291/0001-15	-20°27'05.947"	-43°54'23.637"	Sul do Equador	MG	CONGONHAS	Cascalho	8	210.000,00	Etapa única				Não
Barragem dos Coqueiros	Avg Empreendimentos Minerários S.A	16.565.897/0001-30	-19°48'55.680"	-43°42'36.490"	Sul do Equador	MG	SABARÁ	Sedimento	7	2.500,00	Etapa única				Não
BARRAGEM POÇO FUNDO	Csn Mineração S.a.	08.902.291/0001-15	-20°27'05.155"	-43°53'54.459"	Sul do Equador	MG	CONGONHAS	Cascalho	2,88	12.000,00	Etapa única				Não
BARRAGEM USINA BENEFICIAMENTO ESPONGILITO	Magnesita Mineração S.A.	00.592.603/0001-20	-19°24'38.280"	-47°57'18.520"	Sul do Equador	MG	UBERABA	Argila	2	4.600,00	Etapa única				Não
BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVA	Magnesita Mineração S.A. Filial: FAZENDA BELA VISTA	00.592.603/0023-35	-19°24'38.340"	-47°57'20.460"	Sul do Equador	MG	UBERABA	Argila	2	4.300,00	Etapa única				Não
BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVB	Magnesita Mineração S.A. Filial: FAZENDA BELA VISTA	00.592.603/0023-35	-19°24'38.340"	-47°57'20.460"	Sul do Equador	MG	UBERABA	Argila	2	4.600,00	Etapa única				Não
BARRAGEM USINA BENEFICIAMENTO L7 - IIA	Magnesita Mineração S.A. Filial: FAZENDA BELA VISTA	00.592.603/0023-35	-19°24'37.100"	-47°57'20.460"	Sul do Equador	MG	UBERABA	Argila Refratária	2	7.100,00	Etapa única				Não
BARRAGEM USINA BENEFICIAMENTO L7 - IIB	Magnesita Mineração S.A.	00.592.603/0001-20	-19°24'38.870"	-47°57'22.630"	Sul do Equador	MG	UBERABA	Argila	2	4.900,00	Etapa única				Não
BARRAGEM USINA BENEFICIAMENTO L8 - IIIA	Magnesita Mineração S.A. Filial: FAZENDA BELA VISTA	00.592.603/0023-35	-19°24'35.100"	-47°57'20.460"	Sul do Equador	MG	UBERABA	Argila Refratária	2	4.900,00	Etapa única				Não
BARRAGEM USINA BENEFICIAMENTO L8 - IIIB	Magnesita Mineração S.A. Filial: FAZENDA BELA VISTA	00.592.603/0023-35	-19°24'34.100"	-47°57'20.460"	Sul do Equador	MG	UBERABA	Argila Refratária	2	3.900,00	Etapa única				Não
C - PDE Nordeste	Vale S A Filial: Vale Minas Centrais	33.592.510/0447-98	-19°56'18.423"	-43°35'01.717"	Sul do Equador	MG	BARÃO DE COCAIS	Minério de Ferro	8	15.377,28	Etapa única				Não
Captação	Vale S A Filial: Vale Mariana	33.592.510/0412-68	-20°12'10.200"	-43°36'08.100"	Sul do Equador	MG	SANTA BÁRBARA	Minério de Ferro	8,2	511	Etapa única				Não
Captação Córrego das Almas	Vale S A Filial: Vale Mariana	33.592.510/0412-68	-20°09'28.916"	-43°28'05.155"	Sul do Equador	MG	MARIANA	Minério de Ferro	8,5	2.165,46	Etapa única				Não
Captação Trovões	Vale S A Filial: Vale Vargem Grande	33.592.510/0034-12	-20°10'07.400"	-43°51'41.300"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	8,83	503	Etapa única				Não
Cata Branca	Vale S A Filial: Vale Itabiritos	33.592.510/0044-94	-20°13'59.200"	-43°51'24.300"	Sul do Equador	MG	ITABIRITO	Minério de Ferro	9	12.000,00	Alteamento a jusante				Não
CONJUNTO DE BAIAS VIGA	Ferrous Resources do Brasil Sa	08.852.207/0001-04	-20°29'45.700"	-43°55'03.600"	Sul do Equador	MG	CONGONHAS	Minério de Ferro	9	70.613,28	Etapa única				Não
D-1	Mineração Pedra Menina Ltda	05.059.907/0001-40	-17°58'05.930"	-43°10'08.450"	Sul do Equador	MG	SENADOR MODESTINO GONÇALVES	Minério de Manganês	11	8.000,00	Etapa única				Não
D-2	Mineração Pedra Menina Ltda	05.059.907/0001-40	-17°58'06.460"	-43°10'11.200"	Sul do Equador	MG	SENADOR MODESTINO GONÇALVES	Minério de Manganês	14	36.000,00	Etapa única				Não
D-3	Mineração Pedra Menina Ltda	05.059.907/0001-40	-17°58'07.170"	-43°10'11.080"	Sul do Equador	MG	SENADOR MODESTINO GONÇALVES	Minério de Manganês	6	5.000,00	Etapa única				Não
Dique - Pilha 2	Mib Mineração Ibirité Ltda	08.578.982/0001-05	-20°07'47.530"	-44°06'09.230"	Sul do Equador	MG	BRUMADINHO	Sedimento	2	250	Etapa única				Não
Dique - Pilha 4	Mib Mineração Ibirité Ltda	08.578.982/0001-05	-20°07'23.117"	-44°06'23.291"	Sul do Equador	MG	BRUMADINHO	Sedimento	8	183	Etapa única				Não
Dique - Pilha de Rejeito	EXTRATIVA MINERAL LTDA	17.174.889/0001-26	-20°06'36.810"	-43°54'31.680"	Sul do Equador	MG	NOVA LIMA	Minério de Ferro	10	80.000,00	Etapa única				Não
Dique 01 - Serra Azul	Minerita Minérios Itaúna Ltda.	16.813.461/0001-13	-20°07'11.260"	-44°23'07.880"	Sul do Equador	MG	MATEUS LEME	Minério de Ferro	14	12.347,00	Etapa única				Não
Dique 01 de Terra	Arcelormittal Mineração Serra Azul S.a.	08.102.787/0001-04	-20°08'19.363"	-44°24'02.991"	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	9	15.000,00	Etapa única				Não
Dique 01 Serra Azul - Dique Vai e Volta 1	Mineração Usiminas S.a.	12.056.613/0001-20	-20°07'44.700"	-44°25'12.700"	Sul do Equador	MG	MATEUS LEME	Argila Arenosa	13	30.000,00	Etapa única				Não
Dique 02 - Pitangui	Minerita Minérios Itaúna Ltda.	16.813.461/0001-13	-20°07'25.280"	-44°22'31.860"	Sul do Equador	MG	MATEUS LEME	Minério de Ferro	6	2.100,00	Etapa única				Não
Dique 02 Serra Azul - Dique Vai e Volta 2	Mineração Usiminas S.a.	12.056.613/0001-20	-20°07'49.000"	-44°25'21.000"	Sul do Equador	MG	MATEUS LEME	Argila Arenosa	12	45.000,00	Etapa única				Não
Dique 03	Companhia de Mineração Serra Azul Comisa	03.405.415/0001-33	-20°07'18.220"	-44°19'09.870"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	5	900	Etapa única				Não
Dique 03 Serra Azul - Dique Vai e Volta 3	Mineração Usiminas S.a.	12.056.613/0001-20	-20°07'50.650"	-44°25'36.130"	Sul do Equador	MG	MATEUS LEME	Argila Arenosa	11,45	76.000,00	Etapa única				Não
Dique 04	Companhia de Mineração Serra Azul Comisa	03.405.415/0001-33	-20°07'09.860"	-44°19'26.960"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	3	100	Etapa única				Não
Dique 06	Mineração Usiminas S.a.	12.056.613/0001-20	-20°09'42.900"	-44°27'22.500"	Sul do Equador	MG	ITATIAIUÇU	Argila Arenosa	12	50.000,00	Etapa única				Não
Dique 06 - Véu da Noiva Jusante	Minerita Minérios Itaúna Ltda.	16.813.461/0001-13	-20°07'53.460"	-44°22'30.040"	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	14	2.500,00	Etapa única				Não
Dique 08 - Pátio CMC	Minerita Minérios Itaúna Ltda.	16.813.461/0001-13	-20°08'00.950"	-44°22'46.450"	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	12	48.252,00	Etapa única				Não
Dique 1	Saint Gobain do Brasil Produtos Industriais e Para Construção Ltda.	61.064.838/0001-33	-21°18'29.660"	-44°39'39.180"	Sul do Equador	MG	ITUTINGA	Sedimento	2	300	Etapa única				Não
Dique 13 - Pains	Mineração Usiminas S.a.	12.056.613/0001-20	-20°07'27.890"	-44°24'00.660"	Sul do Equador	MG	MATEUS LEME	Argila Arenosa	12,45	54.000,00	Etapa única				Não
Dique 14	Mineração Usiminas S.a.	12.056.613/0001-20	-20°09'44.900"	-44°26'50.600"	Sul do Equador	MG	ITATIAIUÇU	Argila Arenosa	9,93	54.000,00	Etapa única				Não
Dique 2	Saint Gobain do Brasil Produtos Industriais e Para Construção Ltda.	61.064.838/0001-33	-21°18'29.650"	-44°39'42.590"	Sul do Equador	MG	ITUTINGA	Sedimento	3	100	Etapa única				Não
Dique 2 de Concreto	Arcelormittal Mineração Serra Azul S.a.	08.102.787/0001-04	-20°08'21.900"	-44°24'02.300"	Sul do Equador	MG	ITATIAIUÇU	Argila	3	200	Etapa única				Não
Dique 3	Saint Gobain do Brasil Produtos Industriais e Para Construção Ltda.	61.064.838/0001-33	-21°18'31.440"	-44°39'43.340"	Sul do Equador	MG	ITUTINGA	Sedimento	1,5	25	Etapa única				Não
Dique B11 - Pilha de Estéril Alegria E (Dique do Córrego dos Macacos)	Samarco Mineração S A.	16.628.281/0001-61	-20°11'38.353"	-43°30'30.185"	Sul do Equador	MG	OURO PRETO	Sedimento	14,5	52.000,00	Etapa única				Não
Dique B2 - Pilha de Estéril João Manoel	Samarco Mineração S A.	16.628.281/0001-61	-20°10'15.254"	-43°29'53.120"	Sul do Equador	MG	MARIANA	Sedimento	10	8.000,00	Etapa única				Não
Dique B3 - Pilha de Estéril João Manoel	Samarco Mineração S A.	16.628.281/0001-61	-20°10'11.676"	-43°29'45.981"	Sul do Equador	MG	MARIANA	Sedimento	10	12.000,00	Alteamento a jusante				Não
Dique BIII-6	FERROMINAS - MINERAÇÃO LTDA	08.814.720/0001-00	-20°08'48.020"	-44°27'15.790"	Sul do Equador	MG	ITAÚNA	Sedimento	7,5	14.457,60	Etapa única				Não
Dique BIII-7	FERROMINAS - MINERAÇÃO LTDA	08.814.720/0001-00	-20°08'48.680"	-44°27'05.270"	Sul do Equador	MG	ITAÚNA	Sedimento	7,5	16.557,00	Etapa única				Não
Dique BIV-3 - Dique Hércules	Mineração Usiminas S.a.	12.056.613/0001-20	-20°09'21.800"	-44°26'29.000"	Sul do Equador	MG	ITATIAIUÇU	Argila Arenosa	13	15.524,00	Etapa única				Não
Dique Caffaro	Mineral do Brasil Ltda.	17.246.638/0001-00	-20°05'43.890"	-44°09'44.560"	Sul do Equador	MG	MÁRIO CAMPOS	Sedimento	8	17.000,00	Etapa única				Não
Dique Conquistinha	Mineração Morro do Ipê S.a.	22.902.554/0001-17	-20°06'57.240"	-44°17'53.170"	Sul do Equador	MG	BRUMADINHO	Sedimento	5	30	Etapa única				Não
Dique Couves (MUSA)	Mineração Usiminas S.a.	12.056.613/0001-20	-20°09'21.200"	-44°26'49.500"	Sul do Equador	MG	ITATIAIUÇU	Argila Arenosa	8,8	3.800,00	Etapa única				Não
Dique da Divisa	Mineração Usiminas S.a.	12.056.613/0001-20	-20°08'10.800"	-44°24'18.900"	Sul do Equador	MG	ITATIAIUÇU	Argila Arenosa	10	8.750,00	Etapa única				Não
Dique da Mineira	Mineração Usiminas S.a.	12.056.613/0001-20	-20°09'01.300"	-44°26'09.000"	Sul do Equador	MG	ITATIAIUÇU	Argila Arenosa	10,2	5.000,00	Etapa única				Não
Dique da Oficina	Mineração Usiminas S.a.	12.056.613/0001-20	-20°07'31.200"	-44°24'37.700"	Sul do Equador	MG	MATEUS LEME	Argila Arenosa	12	10.000,00	Etapa única				Não
Dique da Oficina II	Mineração Usiminas S.a.	12.056.613/0001-20	-20°07'34.500"	-44°24'48.600"	Sul do Equador	MG	MATEUS LEME	Argila Arenosa	9,4	5.600,00	Etapa única				Não
Dique de Captação	Pedreira Um Valemix Ltda.	41.716.499/0001-15	-20°01'38.910"	-43°25'26.900"	Sul do Equador	MG	CATAS ALTAS	Sedimento	4	13.134,76	Etapa única				Não
Dique de Concreto	Minerita Minérios Itaúna Ltda.	16.813.461/0001-13	-20°07'54.830"	-44°22'35.900"	Sul do Equador	MG	ITATIAIUÇU	Minério de Ferro	4	1.600,00	Etapa única				Não
Dique de Contenção de Finos	Pedras Congonhas Extração Arte e Ind. Ltda	19.695.030/0001-98	-20°06'58.000"	-43°52'25.400"	Sul do Equador	MG	NOVA LIMA	Serpentinito	14,87	2.376,00	Etapa única				Não
Dique de Contenção Pilha de Estéril MMR	Lafargeholcim (brasil) S.a. Filial: Barroso	60.869.336/0084-44	-21°11'27.800"	-43°59'28.500"	Sul do Equador	MG	PRADOS	Argila	0	0	Indefinido				Não
DIQUE DE SAÍDA DE CAVA	Empresa de Mineração Esperança Sa	33.300.971/0001-06	-20°06'43.300"	-44°13'12.700"	Sul do Equador	MG	BRUMADINHO	Minério de Ferro	8	11.250,00	Etapa única				Não
